Group_Detector,Right Ascension (Ra),Declination (Dec),Time Delay (t),Luminosity Distance (Dist),Polarization Angle (Pol),Mass (M),Inclination Angle (iota),Mass Ratio (eta),Initial Phase (phi)
group_71_ET_1,305.8421707869122,382.39101016743734,0.042720185218942115,91.46635902245954,633.7500671050451,0.006513991597886993,45.14812893755101,0.0063387573174770355,301.11558705014556
group_71_ET_2,117.34930300227137,146.76401157600873,0.01713426225101649,41.30292816197577,106.89753735907907,0.002582517283936653,135.56978116789745,0.0025122651065275095,33.718266497053335
group_71_ET_3,166.93707093323647,208.86226382403655,0.025820190538273464,152.89742950110423,96.74848820148561,0.00384391899590926,62.623424352129604,0.0037378949582781876,329.2330132164488
group_72_ET_1,243.10213626266523,242.8514371115081,0.01669497042028207,223.85939820271614,330.5969013771812,0.002531779509744811,339.54032173071016,0.0024632020971911274,95.1222962009902
group_72_ET_2,191.1827287358495,190.90240490547959,0.014802536692058164,220.98671055648498,482.85935795926093,0.002177962314142715,321.8737574053165,0.002117598976669081,209.7534689343251
group_72_ET_3,224.76696755366797,224.50242190435154,0.016127099613903875,106.29153813477643,398.1073845277962,0.002397806633134619,254.0424425095576,0.0023322915274639703,30.484381829907576
group_73_ET_1,72.26189801530057,32.40706015007866,0.015130692100697417,17.693372327637462,186.9922198634949,0.001865586659480975,18.461208088036432,0.0018149235743153724,120.52802426764342
group_73_ET_2,63.31967098658052,28.39645308292651,0.013199383526201243,15.950160044744369,150.46864092593617,0.0016426535353949669,41.70208040919037,0.001597904215503802,76.42761913052198
group_73_ET_3,68.61459250261437,30.810754663504824,0.015139255101595566,5.506177548651731,93.60375151412822,0.0018685885197833822,6.836015562303603,0.0018169458619605229,60.52639583773961
group_74_ET_1,157.03744577674442,49.877350781530296,0.022018273085666853,29.621349371621246,291.19448640641093,0.0038282940645602863,99.1036392808167,0.003726061672365158,75.7262990205561
group_74_ET_2,106.59042310064429,33.86455341726374,0.015335041563174967,5.157951775066231,191.24569554122843,0.0026512458449359823,99.7598874954711,0.002579845108617927,67.10150966451374
group_74_ET_3,335.06157869952597,106.41805437335508,0.04727650633408099,35.90640215134784,547.9787594766601,0.008224514056041759,26.607154973170147,0.008003184486606826,192.2779334198077
group_75_ET_1,117.85353552667024,57.930445059666084,0.0013382730263275565,33.91459426000616,142.47615894746096,0.0019120068923848576,25.146981163508485,0.0018666142526215625,92.30249978307927
group_75_ET_2,74.16643641739212,36.45551107981205,0.0010929454580602,4.085180399799629,113.21521163939255,0.0012267366571863045,25.745251546608973,0.0011972775207572614,6.931055316549907
group_75_ET_3,88.43425920419926,43.39171737551408,0.005099528035327279,25.568944019646306,159.33651565778058,0.0016641630211564151,18.646460648689242,0.0016219996279625921,66.39556887394991
group_76_ET_1,5.091293751321139,5.166615418430748,0.005502148258087614,68.51289504736823,697.5519303298266,0.001132011838133017,142.92565978704644,0.0010974814055367689,1405.364916426251
group_76_ET_2,1.7104352450369726,1.6689385852818193,0.006307242108441161,428.6383943974731,774.1179312533691,0.0012861987254141416,887.8558409391181,0.001246829852687366,1553.2754798067026
group_76_ET_3,4.93575575419926,5.230151641903725,0.015276641348941003,47.63766357257191,2048.1273314251434,0.00315396725626521,109.67867589509386,0.003058376382659369,4116.970500125017
group_77_ET_1,90.67966318717457,88.04796892530855,0.0056016999631427564,197.15724671428822,1046.9809638035238,0.0011318502077079112,398.2260020174292,0.0011006104260967884,1868.9123423379592
group_77_ET_2,97.85647841647393,94.92963883725751,0.009678207044025292,514.1361537560816,1613.4754296909814,0.0018865024528112037,886.7915880594815,0.0018307247192095434,2868.9944077223354
group_77_ET_3,28.512101524418735,27.602573713046425,0.0054868797728773845,174.12127210589247,885.5974701992371,0.001101030351799707,371.3745119464709,0.0010675399483855478,1613.9422585906345
group_78_ET_1,210.19214749272612,53.494405967412405,0.025986090729042316,1984.137029148078,1948.1241278185485,0.005277493338698521,1009.0889524262562,0.005128561366102682,1657.0464551055557
group_78_ET_2,6470.167460881343,1648.6415401247082,0.6655928576785436,9305.483559895027,16999.676126223152,0.14259914191866674,2573.4648907131736,0.13880318301032313,695.9039839181012
group_78_ET_3,296.03177322923267,75.59884856221674,0.02497544147539879,551.3167876367725,465.59685791113696,0.005593758536913092,377.3888605280037,0.005449697821534758,910.3455862033248
group_79_ET_1,39.202558460853226,58.86973170100957,0.001272555534590346,107.57653095968332,68.56448642592687,0.000593188853275588,292.7361358491736,0.0005766677596145071,565.596405546549
group_79_ET_2,39.30222178155139,58.9660626524081,0.0008028500816167697,51.80875445808785,766.3689464407897,0.0005301909858919844,2.9976574282537616,0.0005171086193884814,1090.5775558542714
